name,description,price,originalPrice,category,subcategory,rating,reviews,inStock,isNew,isBestseller,colors,sizes,image
Facial Hair Remover,Painless electric facial hair remover for women with LED light.,1999,2999,beauty,hair-removal,4.8,82,Yes,No,No,"Rose Gold, White",,/images/beauty-37.jpg
Ultrasonic Jewelry Cleaner,"Professional ultrasonic cleaner for jewelry, glasses, and accessories.",3999,4999,beauty,accessory,4.5,458,Yes,Yes,No,White,,/images/beauty-38.jpg
Electric Foot Spa Massager,Heated foot spa bath massager with bubbles and massage rollers.,4999,6999,beauty,foot-care,4.3,518,Yes,No,No,"Blue, White",,/images/beauty-39.jpg
Galvanic Spa Device,Professional galvanic spa device for face lifting and deep cleansing.,5999,7999,beauty,skincare-devices,4.5,555,Yes,No,No,"Gold, White",,/images/beauty-40.jpg
7-in-1 Facial Care System,Complete facial care system with 7 interchangeable attachments.,6999,8999,beauty,skincare-devices,4.4,179,Yes,Yes,No,White,,/images/beauty-41.jpg
LED Light Therapy Mask,Professional 7-color LED face mask for various skin concerns treatment.,8999,11999,beauty,skincare-devices,4.7,169,Yes,No,No,White,,/images/beauty-42.jpg
Electric Nail Drill Machine,"Professional electric nail drill with 35,000 RPM for salon-quality manicures.",4999,6999,beauty,nail-tools,4.8,207,Yes,No,No,"Rose Gold, White",,/images/beauty-43.jpg
Jade Roller Gua Sha Set,Natural jade face roller and gua sha scraping tool for facial massage.,1999,2999,beauty,skincare-tools,4.5,275,Yes,Yes,Yes,Green,,/images/beauty-44.jpg
Hair Straightener Brush,Ionic hair straightening brush with LCD display and temperature control.,3999,4999,beauty,hair-tools,4.6,165,Yes,No,No,"Rose Gold, Black",,/images/beauty-45.jpg
Ultrasonic Skin Scrubber,Ultrasonic spatula for deep cleansing and blackhead removal.,2999,3999,beauty,skincare-devices,4.9,343,Yes,No,No,White,,/images/beauty-46.jpg
Silicone Face Cleanser,Waterproof silicone facial cleansing brush with multiple vibration modes.,2499,3499,beauty,skincare-devices,4.8,528,Yes,No,No,"Pink, Blue",,/images/beauty-47.jpg
Ionic Hair Dryer,Professional salon-quality ionic hair dryer with multiple heat settings.,4999,6999,beauty,hair-tools,4.5,565,Yes,No,No,"Rose Gold, White",,/images/beauty-48.jpg
Microcurrent Face Device,Advanced microcurrent device for non-invasive face lifting treatment.,6999,8999,beauty,skincare-devices,4.3,469,Yes,No,No,"Gold, White",,/images/beauty-49.jpg
Heated Lash Curler,Electric heated eyelash curler with temperature control for long-lasting curls.,1999,2999,beauty,eye-tools,4.5,47,Yes,No,No,"Rose Gold, White",,/images/beauty-50.jpg
